shipment_id,order_id,supplier_id,destination_warehouse_id,carrier_id,order_date,promised_delivery_date,actual_delivery_date,transit_days,promised_transit_days,on_time_flag,in_full_flag,weight_kg,quantity_units,freight_cost_usd,damage_reported_flag,delay_reason,shipment_status,transit_delay_days,otif_compliance_flag,freight_cost_per_kg,delivery_month
SHP-2026-00001,ORD-30635,SUP-019,WH-DAL-03,CAR-004,2026-02-25 06:00:00,2026-02-27,2026-02-27,2,2,1,1,273.13,480,740.7,0,,Delivered,0,1,2.7119,2026-02
SHP-2026-00002,ORD-87924,SUP-012,WH-SEA-01,CAR-002,2026-01-18 15:00:00,2026-01-20,2026-01-20,2,2,1,1,1846.8,301,6769.79,0,,Delivered,0,1,3.6657,2026-01
SHP-2026-00003,ORD-98039,SUP-027,WH-SEA-01,CAR-002,2026-06-18 15:00:00,2026-06-22,2026-06-22,4,4,1,1,3030.28,145,9339.9,0,,Delivered,0,1,3.0822,2026-06
SHP-2026-00004,ORD-27361,SUP-021,WH-FRA-05,CAR-008,2026-01-19 06:00:00,2026-01-26,2026-01-24,5,7,1,1,4482.63,119,7645.84,0,,Delivered,-2,1,1.7057,2026-01
SHP-2026-00005,ORD-11025,SUP-016,WH-LON-06,CAR-002,2026-04-05 10:00:00,2026-04-08,2026-04-06,1,3,1,1,3180.75,423,10683.69,0,,Delivered,-2,1,3.3589,2026-04
SHP-2026-00006,ORD-54942,SUP-043,WH-SYD-09,CAR-005,2026-01-27 20:00:00,2026-02-01,2026-02-01,5,5,1,1,3353.75,154,5555.86,0,,Delivered,0,1,1.6566,2026-02
SHP-2026-00007,ORD-44335,SUP-033,WH-ROT-04,CAR-005,2026-05-06 10:00:00,2026-05-16,2026-05-23,17,10,0,1,246.19,76,430.86,0,Carrier Breakdown,Delivered,7,0,1.7501,2026-05
SHP-2026-00008,ORD-66333,SUP-036,WH-DAL-03,CAR-008,2026-06-30 12:00:00,2026-07-08,2026-07-10,10,8,0,1,2477.88,308,5273.42,0,Customs Hold,In Transit,2,0,2.1282,2026-07
SHP-2026-00009,ORD-63264,SUP-024,WH-SEA-01,CAR-005,2026-01-11 20:00:00,2026-01-17,2026-01-17,6,6,1,1,3017.85,296,5313.47,0,,Delivered,0,1,1.7607,2026-01
SHP-2026-00010,ORD-63964,SUP-016,WH-DXB-10,CAR-003,2026-02-11 18:00:00,2026-03-13,2026-03-12,29,30,1,1,160.3,180,152.74,0,,Delivered,-1,1,0.9528,2026-03
SHP-2026-00011,ORD-39831,SUP-011,WH-ROT-04,CAR-005,2026-06-29 07:00:00,2026-07-06,2026-07-05,6,7,1,1,1039.83,245,2083.52,0,,In Transit,-1,1,2.0037,2026-07
SHP-2026-00012,ORD-80282,SUP-026,WH-SEA-01,CAR-004,2026-03-26 10:00:00,2026-03-28,2026-03-27,1,2,1,1,1612.6,357,4414.23,0,,Delivered,-1,1,2.7373,2026-03
SHP-2026-00013,ORD-25157,SUP-008,WH-LON-06,CAR-001,2026-03-08 08:00:00,2026-03-12,2026-03-19,11,4,0,1,3292.03,320,8017.91,0,Carrier Breakdown,Delivered,7,0,2.4356,2026-03
SHP-2026-00014,ORD-51145,SUP-017,WH-SIN-07,CAR-004,2026-01-12 17:00:00,2026-01-17,2026-01-21,9,5,0,1,1969.27,481,6065.59,0,Carrier Breakdown,Delivered,4,0,3.0801,2026-01
SHP-2026-00015,ORD-59695,SUP-033,WH-CHI-02,CAR-005,2026-03-21 16:00:00,2026-03-28,2026-03-26,5,7,1,1,1365.67,225,2242.19,0,,Delivered,-2,1,1.6418,2026-03
SHP-2026-00016,ORD-67905,SUP-026,WH-DAL-03,CAR-005,2026-05-21 19:00:00,2026-05-25,2026-05-25,4,4,1,1,1963.0,345,3689.44,0,,Delivered,0,1,1.8795,2026-05
SHP-2026-00017,ORD-40784,SUP-033,WH-TYO-08,CAR-004,2026-05-02 18:00:00,2026-05-05,2026-05-04,2,3,1,1,2343.76,181,6641.5,0,,Delivered,-1,1,2.8337,2026-05
SHP-2026-00018,ORD-92544,SUP-013,WH-FRA-05,CAR-004,2026-02-07 06:00:00,2026-02-09,2026-02-08,1,2,1,1,2770.17,243,8142.7,0,,Delivered,-1,1,2.9394,2026-02
SHP-2026-00019,ORD-23970,SUP-046,WH-DXB-10,CAR-004,2026-06-28 12:00:00,2026-07-03,2026-07-03,5,5,1,1,2969.46,394,6961.38,0,,Customs Processing,0,1,2.3443,2026-07
SHP-2026-00020,ORD-83259,SUP-045,WH-ROT-04,CAR-003,2026-05-13 13:00:00,2026-05-31,2026-05-31,18,18,1,1,2081.26,351,2017.49,0,,Delivered,0,1,0.9694,2026-05
SHP-2026-00021,ORD-72216,SUP-049,WH-DXB-10,CAR-006,2026-04-24 15:00:00,2026-05-04,2026-05-02,8,10,1,1,1949.0,238,3426.51,0,,Delivered,-2,1,1.7581,2026-05
SHP-2026-00022,ORD-47450,SUP-049,WH-TYO-08,CAR-005,2026-03-05 19:00:00,2026-03-14,2026-03-12,7,9,1,1,2206.46,235,3752.31,0,,Delivered,-2,1,1.7006,2026-03
SHP-2026-00023,ORD-63424,SUP-022,WH-ROT-04,CAR-005,2026-03-23 20:00:00,2026-03-31,2026-04-03,11,8,0,1,1754.51,119,2904.1,0,Customs Hold,Delivered,3,0,1.6552,2026-04
SHP-2026-00024,ORD-59857,SUP-027,WH-LON-06,CAR-008,2026-01-16 09:00:00,2026-01-26,2026-01-24,8,10,1,1,4259.98,460,7139.05,0,,Delivered,-2,1,1.6758,2026-01
SHP-2026-00025,ORD-38906,SUP-023,WH-TYO-08,CAR-001,2026-03-18 18:00:00,2026-03-23,2026-03-22,4,5,1,1,2445.08,419,6711.64,0,,Delivered,-1,1,2.745,2026-03
SHP-2026-00026,ORD-26728,SUP-018,WH-TYO-08,CAR-004,2026-04-22 13:00:00,2026-04-24,2026-04-23,1,2,1,1,3072.18,94,8157.77,0,,Delivered,-1,1,2.6554,2026-04
SHP-2026-00027,ORD-37742,SUP-026,WH-DXB-10,CAR-001,2026-06-01 15:00:00,2026-06-03,2026-06-10,9,2,0,1,3907.49,143,9137.94,0,Customs Hold,Delivered,7,0,2.3386,2026-06
